2.000      1.09169     -0.02639      0.226      0.009     69.064      1.330     37.268      1.877      0.018    233.642    194.000      1.211    246.077      0.019
2.000      1.09169     -0.02639      1.181      0.020     85.765      0.064     13.686      0.236      0.018    233.642    194.000      1.211    246.077      0.019
2.000      1.09169     -0.01806      0.189      0.012     68.039      2.572     34.241      3.778      0.021    263.947    194.000      1.368    276.382      0.023
2.000      1.09169     -0.01806      0.986      0.035     85.919      0.096     14.866      0.411      0.021    263.947    194.000      1.368    276.382      0.023
2.000      1.09169     -0.00972      0.201      0.027     72.666      3.421     27.928      3.995      0.017    413.827    194.000      2.144    426.262      0.023
2.000      1.09169     -0.00972      0.842      0.063     86.551      0.129     14.938      0.572      0.017    413.827    194.000      2.144    426.262      0.023
2.000      1.09169     -0.00139      0.325      0.027     79.473      1.152     22.382      1.077      0.014    350.671    194.000      1.817    363.106      0.018
2.000      1.09169     -0.00139      0.661      0.045     88.399      0.110     11.762      0.463      0.014    350.671    194.000      1.817    363.106      0.018
2.000      1.09169      0.00694      0.267      0.016     81.070      0.681     23.794      0.750      0.013    249.712    194.000      1.294    262.148      0.015
2.000      1.09169      0.00694      0.572      0.021     88.694      0.102     10.209      0.338      0.013    249.712    194.000      1.294    262.148      0.015
2.000      1.09169      0.01528      0.290      0.014     80.884      0.599     22.800      0.715      0.015    221.115    194.000      1.146    233.551      0.015
2.000      1.09169      0.01528      0.490      0.020     88.749      0.111      8.927      0.366      0.015    221.115    194.000      1.146    233.551      0.015
2.000      1.09169      0.02361      0.221      0.011     75.520      0.923     14.681      1.599      0.015    219.939    194.000      1.140    232.374      0.016
2.000      1.09169      0.02361      0.601      0.023     87.895      0.228     10.519      0.367      0.015    219.939    194.000      1.140    232.374      0.016
2.000      1.09169      0.03194      0.138      0.010     74.668      1.018     12.198      1.954      0.016    223.674    194.000      1.159    236.109      0.017
2.000      1.09169      0.03194      0.571      0.013     87.431      0.223     10.785      0.404      0.016    223.674    194.000      1.159    236.109      0.017
2.000      1.09169      0.04028      0.497      0.016     87.950      0.346     11.039      0.576      0.017    197.511    194.000      1.023    209.946      0.017
2.000      1.09169      0.04861      0.419      0.011     88.908      0.333     11.191      0.573      0.013    216.644    194.000      1.123    229.080      0.013
1.000      1.09169      0.05694      0.351      0.009     88.541      0.176     14.101      0.416      0.017    229.471    197.000      1.171    235.593      0.016
1.000      1.09169      0.06528      0.303      0.012     88.515      0.309     16.295      0.727      0.024    219.461    197.000      1.120    225.583      0.021
1.000      1.09169      0.07361      0.253      0.009     88.347      0.297     16.718      0.699      0.019    271.542    197.000      1.385    277.664      0.018
1.000      1.09169      0.08194      0.226      0.008     87.608      0.275     15.573      0.648      0.016    251.988    197.000      1.286    258.110      0.016
1.000      1.09169      0.09028      0.243      0.008     87.031      0.244     14.615      0.574      0.016    326.139    197.000      1.664    332.262      0.017
1.000      1.09169      0.09861      0.239      0.007     86.414      0.201     14.341      0.473      0.013    481.664    197.000      2.457    487.787      0.017
1.000      1.09169      0.10694      0.200      0.008     86.094      0.280     15.031      0.660      0.015    412.861    197.000      2.106    418.984      0.017
1.000      1.09169      0.11528      0.134      0.007     86.281      0.517     19.037      1.216      0.016    453.951    197.000      2.316    460.073      0.018
1.000      1.09169      0.12361      0.091      0.007     84.864      0.653     17.486      1.539      0.014    264.582    197.000      1.350    270.704      0.015
1.000      1.09169      0.13194      0.066      0.008     83.897      0.848     14.991      1.997      0.015    190.137    197.000      0.970    196.260      0.014
1.000      1.09169      0.14028      0.050      0.007     86.354      0.886     13.351      2.087      0.012    216.336    197.000      1.104    222.459      0.013
2.000      1.08336     -0.20139      0.130      0.008     71.072      1.249     41.992      3.233      0.024    158.797    194.000      0.823    171.233      0.020
2.000      1.08336     -0.20139      0.146      0.011    116.635      0.732     18.051      1.750      0.024    158.797    194.000      0.823    171.233      0.020
2.000      1.08336     -0.19306      0.152      0.006     69.247      0.750     37.231      1.879      0.019    163.172    194.000      0.845    175.607      0.017
2.000      1.08336     -0.19306      0.219      0.009    114.878      0.357     17.131      0.851      0.019    163.172    194.000      0.845    175.607      0.017
2.000      1.08336     -0.18472      0.161      0.006     70.010      0.675     38.096      1.682      0.018    232.847    194.000      1.206    245.282      0.018
2.000      1.08336     -0.18472      0.370      0.009    115.176      0.186     15.039      0.442      0.018    232.847    194.000      1.206    245.282      0.018
2.000      1.08336     -0.17639      0.167      0.006     70.840      0.761     41.066      1.918      0.020    221.293    194.000      1.147    233.728      0.020
2.000      1.08336     -0.17639      0.429      0.010    115.989      0.175     14.197      0.417      0.020    221.293    194.000      1.147    233.728      0.020
2.000      1.08336     -0.16806      0.185      0.008     71.854      0.780     37.967      1.971      0.023    164.702    194.000      0.853    177.137      0.021
2.000      1.08336     -0.16806      0.374      0.011    116.739      0.260     16.916      0.619      0.023    164.702    194.000      0.853    177.137      0.021
2.000      1.08336     -0.15972      0.229      0.008     73.996      0.637     35.064      1.629      0.024    169.537    194.000      0.878    181.972      0.022
2.000      1.08336     -0.15972      0.366      0.011    116.803      0.298     18.908      0.713      0.024    169.537    194.000      0.878    181.972      0.022
2.000      1.08336     -0.15139      0.298      0.009     75.588      0.470     31.265      1.205      0.024    175.744    194.000      0.911    188.179      0.022
2.000      1.08336     -0.15139      0.306      0.010    117.088      0.387     21.675      0.940      0.024    175.744    194.000      0.911    188.179      0.022
2.000      1.08336     -0.14306      0.196      0.010    119.807      0.660     24.938      1.630      0.025    184.017    194.000      0.953    196.452      0.023
2.000      1.08336     -0.14306      0.378      0.009     75.445      0.367     29.086      0.923      0.025    184.017    194.000      0.953    196.452      0.023
